person	response
딸이 나한테 장례식을 어떻게 하고 싶은지 물어봤어. 이제 벌써 그런 나이가 된 건지 우울하고 불안해.	갑자기 그런 이야기를 들어서 많이 당황스러우셨겠어요.
아내에게 받는 용돈이 너무 부족해.	현재 받는 용돈 금액에 대해 불만을 가지고 계시는가 봐요.
건강이 마비된 느낌이야.	연세가 많으세요?
이놈에 혈당 때문에 요즘 친구들과 술자리에도 못 가고 아주 힘들고 화가 나.	혈당 수치 때문에 친구들과 어울리지 못해 많이 아쉽고 화가 나셨군요.
십 년 동안 해오던 친목 모임에서 탈퇴를 생각하고 있어.	십 년 동안 해오던 친목 모임에서 탈퇴할 생각이군요. 무슨 이유가 있나요?
경로당의 노인 중에 내가 제일 불쌍하게 느껴져.	무엇이 그 감정을 느끼도록 만들었나요?
친구들은 다 고향에 있는데 타지에 혼자 사니 고립된 기분이야.	타지에 홀로 남아서 외롭다고 느끼고 계시는군요.
건망증이 심해진 것 같고 최근의 기억이 사라져가니 눈물나.	건망증때문에 매우 마음 아프겠어요.
재정 상태가 너무 불안해.	돈이 많이 들어가는 일이 있으신가봐요?
몸이 안좋아 집에 있는 시간이 많아지다보니 친구들 만나지도 못하고 너무 외로워.	마음이 안 좋으시겠어요.
입원해 있던 동안 주식 공부를 했더니 자신감이 생겼어.	주식에 자신감이 생기셨군요.
몸도 안 좋은데 코로나 때문에 사람도 못 만나고 정말 우울하네.	사람들을 못 만나 많이 우울하신가 봐요.
뉴스에서 부모를 요양병원에 버렸다는 기사가 떴어. 그 순간 나도 버려질까 봐 무서웠어.	요양 병원에 버려질까 봐 무서우셨군요.
허리 디스크로 계속 치료받아야 하는데 돈이 나올 데가 없네.	허리 디스크로 고생하고 계시네요. 자녀분은 없나요?
병원 로비에서 오랜만에 고향 친구를 만났는데 얼마나 반가웠는지 몰라.	우연히 옛 친구 분을 만나 기쁘시겠어요.
무릎 관절이 안 좋아서 대중교통을 이용하려면 고생을 각오해야 한다 생각하니 불안해.	대중교통을 이용하기 고생스럽다 생각하니 힘들겠어요.
그 친구가 내 아내랑 바람 났어.	배신감이 말로 할 수 없을 거예요.
아내가 몸이 허해서 약 한 첩 지어다 줬는데 아들놈의 자식이 그걸 먹겠다고 하네 참...	아드님이 참...그렇군요. 아버님은 뭐라 하셨나요?
손자들은 나를 보기 싫다고 말했다고 하네.	사랑하는 손자들에게 그런 말을 들으셨다니 정말 속상하였겠어요.
친한 친구가 어제 암으로 죽었어.	친한 친구의 죽음으로 많이 힘드시겠어요.
건강은 자부했는데 갑자기 입원이라니.	많이 안좋으신가요?
길 한복판에서 바지에 실수를 해서 혐오스러웠어. 회를 잘못 먹었는지 장염이래.	마음이 많이 힘드시겠어요.
건강에 죄책감이 들어.	무슨 일이죠?
아무 힘도 없는 내가 살아있는 이유를 모르겠어.	힘 없이 살아있는 이유를 몰라서 슬프시군요.
친구랑 싸웠는데 내가 먼저 사과해야하나? 어떡하지?	많이 초조해 보이시네요.
오늘 아들이랑 크게 싸웠어.	기분이 좋지 않으시겠어요.
혐오스러운 음식들이 너무 많은 거같아.	혐오스런 음식을 먹었나요?
딸 결혼시킬때까지 건강해야 되는데 걱정이야.	따님이 곧 결혼하시나봐요?. 근데 건강이 안좋으신가요?
이번에 크게 다쳐서 급하게 병원비가 필요해.	큰 병원비가 필요해 많이 걱정되시겠어요.
병원에 자주 가야 해.	왜 그러신가요.
노인정 사람들이 나를 화나게 해.	어떻게 화나게 하나요?
새로 가입한 배드민턴 동호회 사람들이 나랑 치기 싫어하는 거 같아. 너무 상처받았어.	새로 가입한 배드민턴 동호회 사람들이 본인과 치기 싫어해서 상처받으셨군요.
신장 쪽에 문제가 있었는데 괜찮아 진줄 알았는데 더 나빠졌다고 하네.	회복되어 가는 줄 알았는데 더 악화됐다니 많이 속상하시겠어요.
몇십년 동안 노력해온 끝에 드디어 정년퇴직하고 모아둔 돈도 꽤 많아.	노력 끝에 보답이 있듯이 성공하셔서 너무 행복하시겠어요. 앞으로는 어떻게 할 예정이신가요?
남편이 늙어서 기억력이 많이 감퇴했다는 것이 속상하네.	남편이 기억력이 많이 감퇴됐군요.
오랜 투병생활 중 혹시 몰라 영정 사진을 찍었는데 그 이후로 더 두려움을 느끼고 있어.	투병 생활을 오래 하셨군요. 많이 두렵고 힘드시겠어요.
손자가 말을 안 들으면 용돈을 안 줘.	용돈을 못 받으신다는 말씀이신가요? 많이 속상하시겠어요.
오늘 오랜만에 친구들이랑 여행을 갔다 왔어.	친구분들과 좋은 시간을 보내서 즐거우셨겠어요.
아내와 사별한 친구한테 평소처럼 대하기가 어려워.	아내와 사별한 친구를 평소처럼 대하기 힘들어 마음이 안 좋으셨군요.
돈에 회의감이 들어.	어떤 면에서요?
친구들 만나러 지하철을 탔어.	어디서 친구들을 만나시나요?
항상 가던 병원에서 평소보다 치료비가 많이 나왔어. 몸이 더 안 좋아진 걸까 걱정돼.	몸이 더 안 좋아진 것 같아서 걱정되시겠군요.
인생에 진실한 친구는 하나면 된다는 말이 맞아.	진실한 친구가 있다는건 행복한 일이네요.
재정이 탄탄한건 다 남편 덕분이야. 너무 감사해.	남편에게 감사한 마음을 가지고 계시는군요.
큰 딸을 시집보내는데 변변한 예단 없이 보낸 것에 딸한테 괴롭고 미안해.	따님 분한테 시집보내시면서 해준 것이 없어 속상하시겠어요.
재정적으로 느긋한 상태가 되었어.	원래 불안했나요?
노인정에서 다 같이 요통에 좋은 온천에 가기로 해서 너무 흥분돼!	다 같이 온천에 가신다니 정말 기쁘시겠어요.
오늘 암 진단을 받았는데 병원비 때문에 두려워.	암 치료비가 생각보다 많이 나가나 보네요.
이나이 먹도록 이런 일은 처음이야.	무슨일 있나요? 말해주세요.
직장 생활할 당시에 임원진으로 회사 생활을 마감했어.	임원 생활을 하시다가 은퇴를 하셨군요.
동생이 수술비 때문에 어려워하는데 내가 도와줄 수 있는 게 없어서 마음이 찢어질 것 같아.	동생 수술비에 도움이 못 돼 정말 힘드시겠어요.
문소리만 나도 누가 오려나. 기다리는 내가 참 슬프고 쓸쓸하네.	많이 슬프고 쓸쓸하시겠어요.
친구라는 놈이 술 먹자고 만난 자리에서 계속 은근슬쩍 자식 자랑만 하네.	친구 분의 과한 자식 자랑에 불쾌함을 느끼셨겠어요.
아 너무 후회되네.	어떤 부분에서 후회를 하시나요?
나는 건강하지만 내가 사랑하는 사람들이 아픈 것을 보니 늘 두려워.	사랑하는 사람들이 아픈 것을 보니 두려우시군요.
내가 호흡기 질환이 있는데 아내가 이 때문에 너무 힘들 것 같아서 슬퍼.	질환으로 인해 괴로우시군요. 조금 더 자세하게 말씀해 주시겠어요?
몸도 성치않은데 매달 들어오는 연금도 턱없이 부족해.	재정문제로 기분이 안좋으시군요.
아버지가 간암에 걸려서 술 좀 끊으라고 했는데 들은 척도 안 하셔 너무 스트레스받아.	아버님이 술 좀 끊으라는 소리를 들은 척도 안 하셔서 너무 스트레스받으시겠어요.
그 약장수는 늙은 나를 속여 물건을 팔려고 했어	약장수가 늙은 사람들을 대상으로 물건을 파는군요
친구들이랑 경제 상황이 다르니까 얘기하기가 조심스러워서 좀 외롭다.	조금 자세히 이야기해 주시겠어요?
같이 등산 다니던 친구가 당뇨로 죽었어.	많이 슬프시겠어요. 힘내세요.
나는 다른 노인들보다 지식이 얕을까봐 매일 공부해.	매일 공부하시다니 대단하세요.
돈이 없어서 세상과 단절된 느낌이야. 답답해.	많이 답답하시겠어요. 금전적인 노력으로 기울일 수 있는게 뭐가 있을까요?
재정적으로 고립된 기분이야.	왜 그러세요?
박 씨 할아버지의 당뇨가 심해졌는지 안색이 좋지 않아. 돌아가실까 봐 걱정되고 불안해.	박 씨 할아버지가 돌아가실까 봐 걱정되고 불안한 마음이 드시는군요.
돈을 빌려달라는 친구의 전화가 당황스러워.	친구의 전화를 어떻게 대처하셨나요?
요즘 모르는 사람들과 관계를 맺는 것이 좋은 것 같아.	새로운 사람들과의 만남이 좋으신가 보네요.
요즘 사람 간의 관계에 환멸을 느껴.	왜 그러세요?
친구에게 빌려준 돈을 받지 못하고 있어. 친구와의 관계를 어떻게 해야 할지 좌절감이 들어.	속상한 마음이 드시겠어요. 그런 상황을 타개할 방법이 있을까요?
보험을 십 년 전부터 여러 개 들어 놓았는데 관절염은 적용이 안 된다고 해서 속상해.	관절염이 보험이 안 되어 기분이 많이 안 좋으시겠어요.
아내가 나보다 말을 잘하는 내 친구를 부러워해.	하지만 아내분께서 사랑하시는건 남편분일거에요.
오랫동안 알고지내던 친구가 어제 갑자기 세상을 떠났어. 건강했던 친구라서 당황스럽구나.	친구분의 갑작스러운 죽음으로 당혹스러우시군요.
나는 몸이 많이 아파서 치료비가 필요한데 왜 빨리 보험료를 안주는 걸까?	몸이 많이 안 좋으세요?
내 딸 혼전임신 시켜놓고 파혼이라니. 민사 형사 다 고발할거야.	많이 속상하시겠어요. 지금 연락은 계속 취하고 계신건가요?
재정에 있어 고립된 기분이야.	왜 그러세요?
노인정 사람들이 나를 위해서 관절염에 좋은 의료기기를  선물해주었다.	꼭 필요했던 의료기기라서 너무 기쁘시겠어요.
아내에게 밖에서 기분 나빴던 이야기를 해도 듣는 둥 마는 둥 해서 되게 당황했어.	아내의 갑작스러운 무관심한태도에 당황하셨군요.
남편이 수술 끝나고 복부가 부풀어 올라 괴로워하고 있는데 의사는 괜찮다고만 해. 너무 불안해.	수술 끝나고 복부가 부풀어 올라 괴로워하는 남편의 모습을 보며 불안하시군요.
건강에 조심스러워져.	왜 그러세요?
친구가 악의적으로 나를 소외시키네.	왜 그러는걸까요?
몸이 예전 같지 않아서 슬퍼. 딱딱한 걸 먹으니까 어금니가 아프더라고.	몸이 예전 같지 않아 슬프시겠군요.
벌써 내 나이 정년이야. 시간이 너무 빠른 것 같아. 나이가 많으니 취업도 어렵고 모아둔 돈도 없어. 어쩌면 좋지?	어딘가 꼭 필요한 역할이 있을 게 분명해요.
그동안 담배를 너무 많이 피웠나 봐. 이제 와서 내가 모은 돈을 보니 너무 후회가 돼.	그동안 모은 돈을 보고 속상하셨나 봐요.
내 나이에 이렇게 건강할 수 있음에 감사해.	건강하셔서 감사한 마음을 가지고 계시군요.
의사가 이제 더 이상 치료제가 없다고 진통제만 주겠대.	치료제가 없다는 말이 더 힘드시겠어요.
사람들 만나기가 너무 부끄러워.	왜 부끄러우신걸까요?
외출하게 되면 마스크를 착용하지 않는 분들이 아직도 많은 것 같아.	외출 시 마스크를 쓰지 않은 사람이 많군요.
급히 수술이 필요해 지인에게 사정을 말하고 빌려준 돈을 받으려 했는데 차일피일 미루고 있어서 화가나.	조금 더 자세히 말씀해 주시겠어요?
이달말까지 병원비 밀린걸 내야하는데 돈은 없고 의사 선생님 눈치가 보여서 살 수가 없네.	병원비때문에 의사 선생님이 신경쓰이시는군요.
어제까지 하한가였는데 오늘 바로 상한가로 회복하네. 역시 차트를 믿기를 잘했어.	상한가로 회복하는데 어떤 이슈가 작용했을까요?
오늘은 왠지 순대국밪이 먹고 싶은데 돈이 없네.	그렇군요. 너무 아쉬워요.
내년에 정년퇴직을 하고 집에서 편안히 지내다 보면 만성피로는 금방 나을 것이라고 생각해.	정년퇴직 후 집에서 휴식을 취하면 만성피로는 금방 나을 것이라고 생각하시는 군요.
친구는 돈을 많이 모아뒀다 하던데 나는 그러지 못해서 자꾸 비교가 돼.	기분이 좋지 않으겠어요.
병원 치료비가 부족하다고 생각했는데 여유가 좀 있어서 다행이야.	다행이네요. 치료비가 부족하지 않으려면 어떻게 해야 할까요?
나는 정말 억울해.	무슨 일이신가요.
아픈 몸 때문에 일을 못해서 자식들에게 손을 내미는 것 때문에 너무 슬퍼.	일도 못하고 자식들에게 손을 내밀어서 기분이 슬프시군요.
보험회사가 며칠째 연락을 안받고 있어서 초조해죽겠어.	무슨 사유로 연락을 취하시는 건가요?
내가 김 사장한테 그렇게 잘해줬는데 어떻게 내 뒤에서 욕을 할 수가 있지?	김 사장님에게 배신감을 느끼셔서 노여우셨군요.
돈 생각에 구역질 나.	왜 그러세요?
나는 내 인생에서 희생만 하다 가는 것 같아.	왜 그렇게 느끼세요?
나는 아무런 연고가 없어서 제대로 된 치료도 못 받고 호스피스 병동으로 옮겨졌어.	아무런 연고가 없어 치료도 제대로 못 받고 호스피스 병동으로 옮겨지셨군요.
건강도 안좋은데 금전적으로도 많이 힘드네.	재정적으로 많이 힘드시겠어요. 좋은 방법이 없을까요?
어제 통장 잔고를 확인했는데 돈이 없어서 심각성을 느꼈어. 여태 뭐하고 살았나 싶어.	재산은 중요하니까요. 없으면 회의감이 드는거 같아요.
나 오늘 완전히 충격받았어.	무슨 일인지 자세히 말씀해 주실 수 있으시겠어요?
건강할 때 건강을 지켜야 할 것 같아.	어떠한 방법으로 건강을 지키시나요?
내게 사기 쳤던 박 사장이 구속되었어.	조금 더 자세히 말씀해 주시겠어요?
노인학교에 갔는데 맘에 드는 할머니를 만났어.	친구가 되셨나요?
아까 보니까 딸 명품신발 또 샀네. 진짜 징그럽다.	딸이 명품 사는걸 좋아하시나요?
수입은 없고 지출할 일만 있으니 한숨이 나와.	여러 가지 힘드신 시기신가 보네요. 지금 제일 걱정되는 것이 무엇이세요?
옆집 사람이 추천해서 가입한 보험이 매달 보험료가 인상되는 상품이었어. 사기당한 기분이야.	사람을 믿고 가입했는데 기분이 안 좋으시겠어요.
가난해서 치아가 시려와도 죽 한 그릇 사먹을 돈도 없네.	많이 힘드시겠어요. 치아가 많이 아프신가요?
이제 음식 살 돈도 없어. 당장 배고픔을 해결하는 게 걱정이야.	식사비조차 없으신 듯 하네요. 배고픔을 해결하는 게 걱정이군요.
그동안 운동을 꾸준히 해 와서 건강에는 자신 있는데 자식들이 자꾸 정밀 검진 받아야 한다고 귀찮게 해.	자녀분들이 엄마 생각을 많이 하시나봐요.
주거래은행 우수고객코너의 자산관리사가 자기 돈처럼 재정관리를 잘 해주는 것 같아 신뢰가 가.	모아두신 돈을 잘 굴려주고 계시다니 다행이네요. 돈을 한 곳에만 모아두고 계신가요?
요즘 친구들한테서 버려진 기분이야.	왜 버려진 기분이 들까요?
요즘 모아둔 돈이 없어서 걱정이야.	모아둔 돈이 없어서 혼란스러우시겠네요.
나이가 들수로 건강이 중요하다는 것을 느껴. 젊은 이들을 보면 부럽다니깐.	젊음이 부러울 나이신가봐요.
내 나이에는 돈을 쓰지 않으면 대접을 받지 못해.	그럴수가 있겠군요.
탁구모임 있는 날인데 나 한테만 연락이 안 왔어. 너무 서운하고 화가 나.	모임 연락이 안 와서 많이 노여우신 가봐요. 연락이 오지 않은 이유가 있을까요?
친구가 추천한 집이 시세가 훌쩍 올랐네. 그때 사둘 것을.	당시 친구가 추천한 집을 못 사서 후회스럽겠네요.
돈 상태를 보고 충격받았어.	왜 그러세요?
십 년 전 남편과 사별했어. 그 후 혼자 자식을 결혼시키고 나니 남은 건 가난하고 병든 내 몸뿐인 것 같아.	자식을 떠나보내고 혼자남은 게 서글프시군요. 이런 상황이 조금이라도 나아질 방법이 없을까요?
친구들이 여행을 가는데 계획을 아무도 세우질 않아서 내가 다 준비하고 있어.	친구들을 위해 희생하고 계신거군요.
손주들이 나 때문에 명절에 오기 싫다고 했나 봐. 너무 속상해.	많이 속상하시겠어요. 좀 더 자세히 말해줄 수 있을까요?
자식들이 내가 죽는 날만 받아 놓고 있나 봐. 상의 없이 내 이름으로 된 생명보험을 가입해뒀어.	상의 없이 보험을 가입해서 많이 당황하셨겠군요.
내 환갑 잔치에 손주들이 앞으로 건강하라며 케이크를 만들어왔어	손주들이 환갑에 맞춰 케이크를 만들어 왔군요
건강검진을 받았는데 정상으로 나왔어.	검진결과가 정상이여서 정말 다행이군요. 앞으로 어떻게 유지하실거예요?
태어날때 부터 폐가 좋지 않아 매년 검진을 받는데 담배는 참 끊기가 쉽지 않네	폐가 좋지 않아 담배를 피지 말아야 하는데 끊는데 어려움이 있으시네요
와이프가 일방적으로 연락을 끊고 짐을 빼버려서 혼자 남겨졌어.	와이프 분이 그렇게까지 하신 이유가 뭘까요?
나 조만간 회사에서 잘릴 것 같아서 불안해.	회사와 관계가 좋지 못해 속상하시군요.
이번에 글쎄 노인 일자리 센터에서 소개해준 곳으로 출근했는데 나보고 고혈압이 있다고 채용을 취소하겠다네.	어떻게 그럴 수 있죠? 취소 이유에 대해 조금 더 자세히 말씀해주시겠어요?
요즘 돈 때문에 초조해.	왜 초조하시나요?
몸은 멀쩡한데 자녀들이 나를 찾아오지 않아서 마음이 아파.	몸은 멀쩡한데 자녀분들이 찾아오시지 않아서 마음이 아프시군요.
왜 자꾸 나한테 돈을 빌려 달래.	돈을 빌려 달라는 사람이 주변에 많으신가 봐요.
무릎 수술을 받았던 부위가 재발해서 이제 택배 일도 할 수 없는 처지가 됐다는 게 화나.	수술 부위가 재발해 일을 할 수 없게 되어서 화나시겠어요.
친구들이랑 관계가 예전만 못하네. 동창회에 나갈 필요가 있는지 모르겠어.	친구들이랑 사이가 멀어졌어요?
이러다가 갑자기 죽는건 아니겠지?	왜 그런 생각을 하시게 됐나요?
경비직에서 해고당했어.	해고 당하셔서 놀라셨겠어요.
정년퇴직을 앞두고 간암에 걸린 내 치료비 때문에 퇴직을 했어. 너무 미안해.	정년퇴직을 앞둔 아내분이 치료비로 퇴직을 해서 너무 속상하시겠어요.
이제까지 노후 대비도 안 한 내 자신이 너무 한심해.	노후에는 돈이 많이 들 수 있죠. 무슨 일 있나요?
질환이 없어도 환갑에 돈이 없으니깐 너무 비통해.	어떻게 하면 좋을까요?
오래 걸린다던 수술이 잠깐 눈 감았다 뜬 사이에 끝난 것 같아서 참 당황스러워.	오래 걸린다던 수술이 금방 끝나게 되어서 당황스러우시군요.
만성질환으로 고생중인 박 씨 상태가 요즘 많이 나빠진 것 같아.	박 씨의 상태가 걱정되시는군요.
아파도 돈이 없어서 병원에 가는 것이 두려워. 병원에 가지 못해 병이 심해질까 불안해.	병원에 가지 못해 병이 심해질까 봐 불안한 마음을 가지고 계시는군요.
내가 십 년 전에 사두었던 주식이 이렇게까지 비싸졌을 줄이야.	갑자기 예상하지 못한 큰 돈이 생겨서 놀라셨겠어요.
큰일났어.	무슨 일 있으신가요?
최근 돌연사가 늘어나고 있대. 갑자기 나도 그렇게 죽으면 어쩌지.	돌연사가 걱정되는건가요? 어떻게 하고 싶으신가요?
자식들 돈으로 병원을 다녀서 가족들에게 너무 미안해.	자녀 분들의 돈으로 병원을 다니셔서 마음이 편치 않으시군요.
인간 관계라는게 참 허무한거 같아.	인간관계에 대해서 고민이 있으신가봐요.
오늘 아들에게 내 은퇴전에 결혼식을 올리라고 닦달했어.	그러셨군요.무슨 이유 때문인가요?
돈이 있으면 뭐해. 내 맘대로 할 수 있는 게 없어.	누구라도 그건 속상할 거예요.
건강에 대해 질투가 나.	누구한테 그렇게 느껴요?
수술해도 완치가 보장 되는 것이 아닌데 수술을 받아야할지 고민돼.	확실하지 않은 결과 때문에 고민이 되는군요.
요즘 남편 때문에 아주 속상해.	요즘 남편 때문에 속상하시군요. 어떤 이유로 그런지 말해주시겠어요?
내가 죽음을 생각할 때마다 환멸감이 들어.	죽음을 왜 생각하세요?
요즘 친구들이 자꾸 이상한 모임에 자꾸 불러들이려고해서 스트레스 받아.	어떤 모임인데 스트레스까지 받으실까요?
자식들한테 괜히 폐 끼칠까 봐 비 오는 날은 장사를 쉬었는데 괜히 마음이 좋질 않아.	무엇이 마음을 좋지 않게 만들었나요?
지원금을 신청했는데 아직도 안들어와서 매일 전화를 했어.	그렇군요.좋은 결과가 있었나요?
삼촌이 중풍에 걸린 와중에 아내와 사별까지 했대.	몸이 힘든 와중에 이별을 겪은 삼촌 때문에 마음이 안 좋으셨군요.
운동을 꾸준히 하고 있으니까 병이 더 나빠지지는 않을거야.	운동을 꾸준히 하셔서 건장을 자신하시는군요. 계속 건강을 유지하기 위해 어떤 계획을 가지고 계세요?
빚보증만 아니었으면 여유롭게 살았을 거야.	조금 더 자세히 말씀해주시겠어요?
침침한 눈 때문에 끔뻑이는 아내에게 바보 같다고 핀잔을 줬어. 죄책감이 들어.	아내에게 심한 말을 해서 미안하군요.
뱃살을 빼려고 걷기 운동을 했는데 살이 별로 안 빠졌네. 실망이다.	뱃살을 빼려고 걷기 운동을 하셨는데 결과가 만족스럽지 않아서 실망하셨군요.
요즘 속이 안좋아서 걱정이었는데 다행히 괜찮대.	많이 걱정하셨겠어요.
나이가 먹어도 사람을 대하는 게 어렵네.	무슨 일이 있었나요?
돈을 빌려간 김 영감이 꾸준히 돈을 갚고 있어. 그래서 기뻐.	김 영감님이 꾸준히 돈을 갚고 있어서 기쁘시겠어요.
딸이 큰 수술을 받았는데 깨어나지 않고 있어. 영영 못 깨어날까 봐 두려워.	딸이 깨어나지 않고 있어 두려운 마음이시군요.
가정 재정 상태가 안좋아서 마음이 혼란스러워.	혼란스럽고 힘드시겠어요. 재정 상태를 극복하기 위해 무엇을 하실건가요?
죽을때가 되니 자식들이 재산가지고 싸울까봐 걱정이야.	스트레스를 많이 받고 계시는군요. 좋은 묘안이 있을까요?
오랜만에 노인정에 들렸는데 그나마 가장 친했던 영감이 세상을 떠났다는 말을 듣고 슬프면서도 당황스러웠어.	가장 친했던 영감이 세상을 떠났다고 들어서 더 슬펐을 것 같아요.
오늘 암 판정을 받았어.	심각한 상태인가요.
친구들이 싸울까 걱정돼.	왜 싸우나요?
아파 보니까 친구들에게 건강을 묻는 것이 조심스러워.	친구분들에게 건강을 묻는 것에 조심하고 계시군요.
일 년이 지나면 원금의 배는 튀길 수 있다는 친척 형의 말에 기획부동산에 투자했다가 사기당해 우울증까지 생겼어.	친척 형이라 믿으셨군요. 그래서 정신적 건강까지 해치다니 안타깝군요. 
오랜만에 동창회에 갔는데 기분이 영 안 좋네.	무슨 기분 상할 일이 있으셨나요?
경로당에서 함께하는 노인들이 다 유쾌해서 좋아.	경로당 친구분들이 다 좋으시다니 아주 기쁘시겠어요.
돈이 너무 없어서 실망스러워.	재정적으로 힘든가요?
뛸 정도는 아니지만 내 발로 걸어 다닐 수 있어 기뻐.	엄청 건강하시네요.
나도 돈 걱정없이 남들 사는 명품백좀 사고싶다.	명품백 말고 사고싶은게 있나요?
마지막 하나 남은 인슐린을 꺼내 떨어지지않게 허벅지위에 놓았어.	떨어질까봐 걱정이 많으셨겠어요.잘 놓으셨나요?
건강에 문제는 없지만 다른 사람들과 비교해 허약한거 같애.	건강때문에 걱정이 많으시군요. 어떤 계획을 가지고 있나요?
백내장 치료 시기를 놓쳐서 앞을 볼 수 없게 됐어.	앞을 볼 수 없다는 생각에 많이 슬프시겠어요.
내가 죽으면 내 장례식장에 와서 시끌시끌하고 가족들은 슬퍼하겠지?	장례식이 시끌시끌하면 즐겁게 떠날 수 있을 거 같아요.
어젯밤 꿈에 먼저 떠난 남편이 나왔어.	돌아가신 남편분 생각에 정말 슬프실 것 같아요.
옆집 할머니는 내가 어려울 때 나를 도와줄 거야. 이 믿음이 날 기쁘게 해.	옆집 할머니께서 어려우실 때 지원을 아끼지 않으실 거란 믿음에 기쁘시군요.
아내가 처음으로 등산에 같이 가주었어.	아내와 등산을 함께해서 기분이 좋으시겠어요.
건강관리하는 것도 짜증나네.	무슨 일이세요?
우리 동네 노인들은 서로 친해. 필요하다면 서로 어떻게든 도우려고 해.	조금 더 자세히 말씀해 주시겠어요?
친구한테 미안한 감정이 들어.	왜 그러세요?
노후준비가 안되어 있어서 너무 두려워.	노후에 대한 재정마련으로 고민이 있으시군요.
나 점차 초조해.	무슨 일 있으셨나요?
치매 초기 증상이 있어 방금 들었던 말이나 행동을 기억하지 못해 오해를 사기도 해.	오해를 사서 많이 힘드시겠어요.
이제 죽음에 대해 느긋하게 받아들이기로 했어.	왜 죽음에 대해 생각하세요?
요즘 뼈가 자주 골절됐었었는데 알고보니 골다공증 때문이었어.	골다공증이라니 많이 힘드시겠어요. 병원에서는 뭐라던가요?
퇴원하고 오랜만에 보는 손자라서 너무 반가웠는데 손자가 인사만 하고 방에 가 게임만 해서 너무 섭섭해.	오랜만에 보는 손자가 인사만 하고 방에 가 게임을 해서 섭섭하셨군요.
마지막 순간이 다가온 것을 알고 날 위해 고생한 아내에게 모든 걸 위임했어.	마지막을 준비하면서 지금까지 고마웠던 아내에게 모든 걸 넘겨줬군요.
오늘 난 기분이 너무 좋아.	오늘 기분이 무척 좋으시군요. 그 이유를 알려줄 수 있나요?
김 씨의 탈모를 가지고 농담했는데 그걸로 사이가 멀어질까 걱정되고 불안해.	농담으로 한 이야기 때문에 사이가 멀어질까 걱정되고 불안하시군요.
벌써 퇴근 시간이 되었네.	오늘은 퇴근 후 무얼 하시나요.
친구와 밥을 먹고 나왔는데 더치 페이를 하기로 해놓고 화장실에 가서 오질 않아.	함께 비용을 부담하기로 한 친구가 화장실에 가서 오지 않는군요.
나이가 들면서 점차 지인들이 멀어져 가는 것 같아.	어떤 이유로 멀어지는 것 같습니까? 
나만 희생하는 것 같아.	어떤 면에서요?
얼마 전 친구의 재산을 노리고 자식들이 심하게 싸웠다는 얘기를 들었어.	잘 지내야 할 가족들이 재산때문에 다투는 걸 보고 충격이 크시겠어요.
다행이야. 며칠 기침을 해서 병원에 갔더니 단순 감기래.	심한 상태가 아니라 많이 기쁘셨겠어요.
난 이제 살만큼 살았는데 왜 아직도 멀쩡한지 모르겠어.	힘드신 일이 있으셨을까요?
내 부족한 부분을 아내가 채워줘서 항상 고마워.	그런 배우자를 두어서 정말 기쁘시겠어요.
요즘은 남편 얼굴을 보기도 싫어. 밥 달라고 하는 것조차 얄밉게 느껴진다니까.	최근 남편의 모습과 행동이 마음이 들지 않으시군요.
혈압 때문에 부정맥이 오면 위험할 수 있으니 조심하라고 하네.	부정맥이 올 수도 있어서 무서우시겠군요.
주말마다 등산을 같이하는 지인이 뒤에서 나를 비난하고 다녀.	지인분이 비난하셨다는 사실을 아셨을 때 기분이 어떠셨나요?
내일 수술이라 마음이 두려웠는데 손주들 재롱을 보니 기분이 좋아.	손주들의 재롱과 격려가 힘이 많이 되죠.
친구때문에 너무 충격받았어.	무슨일 있으셨던건가요?
은퇴하고 잠도 제대로 못자나. 푹 자고 싶은데 와이프가 자꾸 아침 운동을 가자고 깨워.	아침 운동을 하면 도움이 많이 되긴 하죠. 생각이 전혀 없으세요?
우리 자식들은 평소에 전화도 안 하면서 돈 필요할 때만 전화를 하네. 정말 속상하고 화가 나.	많이 속상하고 화가 나시겠어요.
좋은 일 하나 없는 인생인데 살아서 뭐하나. 앞으로도 똑같을 거 생각하면 화만 나는데.	남은 삶에 분노를 느끼고 계시는군요.
병도 없고 모아놓은 돈도 많으니 마음이 여유롭네.	재정 관리가 잘 되어있으신가 보군요.
은퇴하고 만성질환도 없어.	그럼 건강하시군요.
빌려준 돈을 받지 못해서 너무 가슴이 아파.	기분이 안 좋으시겠어요. 앞으로 어떻게 하실 계획입니까?
남편이 내가 우울증 증세가 있는 것 때문에 눈치 보인다고 불평을 했어.	남편 분께서 그런 말씀을 하셔서 마음에 상처를 받으셨겠어요.
가장인 남편이 병에 걸리면 병원비를 감당할 수 없을 것 같아.	남편이 아프면 가계에 위기가 생기는군요.
내가 다시 아파서 입원을 하게 되면 내 자식들이 나를 더 이상 찾지 않을 거 같아서 너무 슬퍼.	자녀들이 아픈 사용자님에게 돈을 쓰기 싫어 더 이상 찾지 않을 거 같아서 슬프시군요.
나 살고 싶어.	무슨일 있으신가요?
세상에서 나만 건강하지 않아 버려진 느낌이야.	많이 힘드시겠어요.
이 나이에 건강하지도 못하고 가난하기까지하면 어쩌냐.	건강과 재정에 문제가 있으신가요?
언제까지 자신있는 모습으로 생활할 수 있을까요.	자신있는 모습으로 생활하기를 기대하고 계시군요.
